ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,CF1,CF1NAME,CF2,CF2NAME,CF3,CF3NAME,CITY,CITYNAME,COUNTY,COUNTYNAME,CaseYear,DAY,DAY_WEEK,DAY_WEEKNAME,DRUNK_DR,FATALS,FUNC_SYS,FUNC_SYSNAME,HARM_EV,HARM_EVNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,HOUR,HOURNAME,LATITUDE,LATITUDENAME,LGT_COND,LGT_CONDNAME,LONGITUD,LONGITUDNAME,MAN_COLL,MAN_COLLNAME,MILEPT,MILEPTNAME,MINUTE,MINUTENAME,MONTH,MonthName,NHS,NHSNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,PEDS,PERMVIT,PERNOTMVIT,PERSONS,PVH_INVL,ParkWorks,RAIL,RAILNAME,RD_OWNER,RD_OWNERNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,REL_ROAD,REL_ROADNAME,ROAD_FNC,ROAD_FNCNAME,ROUTE,ROUTENAME,RUR_URB,RUR_URBNAME,SCH_BUS,SCH_BUSNAME,SP_JUR,SP_JURNAME,STATENAME,ST_CASE,State,TWAY_ID,TWAY_ID2,TYP_INT,TYP_INTNAME,VE_FORMS,VE_TOTAL,WEATHER,WEATHER1,WEATHER1NAME,WEATHER2,WEATHER2NAME,WEATHERNAME,WRK_ZONE,WRK_ZONENAME,YEAR
14,2:00pm-2:59pm,59,59,0,None,0,None,0,None,2600,HEMPSTEAD,59,NASSAU (59),2017,6,6,Friday,0,1,2,Principal Arterial - Other Freeways and Expressways,42,Tree (Standing Only),15,3:00pm-3:59pm,23,23,14,2:00pm-2:59pm,40.69214722,40.69214722,1,Daylight,-73.575875000,-73.575875000,0,Not a Collision with Motor Vehicle In-Transport,0,None,52,52,1,January,1,This section IS ON the NHS,14,2:00pm-2:59pm,52,52,0,1,0,1,0,,0000000,Not Applicable,1,State Highway Agency,1,Yes,5,Entrance/Exit Ramp Related,4,On Roadside,,,3,State Highway,1,Rural,0,No,0,No Special Jurisdiction,New York,360012,36,SR-908E MEADOWBROOK STATE PKWY,,1,Not an Intersection,1,1,10,10,Cloudy,0,No Additional Atmospheric Conditions,Cloudy,0,None,2017
2,2:00am-2:59am,10,10,0,None,0,None,0,None,4600,OYSTER BAY,59,NASSAU (59),2012,8,1,Sunday,1,1,,,42,Tree (Standing Only),2,2:00am-2:59am,45,45,2,2:00am-2:59am,40.70595278,40.70595278,3,Dark - Lighted,-73.456302780,-73.456302780,0,Not a Collision with Motor Vehicle In-Transport,0,None,5,5,1,January,0,This section IS NOT on the NHS,2,2:00am-2:59am,5,5,0,2,0,2,0,,0000000,Not Applicable,,,0,No,1,Non-Junction,4,On Roadside,12,Urban-Principal Arterial-Other Freeways or Expressways,3,State Highway,,,0,No,0,No Special Jurisdiction,New York,360015,36,SR-907E,,1,Not an Intersection,1,1,10,10,Cloudy,0,No Additional Atmospheric Conditions,Cloudy,0,None,2012
1,1:00am-1:59am,9,9,0,None,0,None,0,None,4600,OYSTER BAY,59,NASSAU (59),2010,9,7,Saturday,1,1,,,24,Guardrail Face,88,Not Applicable (Not Transported) ,88,Not Applicable (Not Transported),1,1:00am-1:59am,40.78421389,40.78421389,3,Dark - Lighted,-73.439697220,-73.439697220,0,Not a Collision with Motor Vehicle In-Transport,0,None,5,5,1,January,1,This section IS ON the NHS,1,1:00am-1:59am,6,6,0,,,1,,,0000000,Not Applicable,,,0,No,1,Non-Junction,4,On Roadside,1,Rural-Principal Arterial-Interstate,1,Interstate,,,0,No,0,No Special Jurisdiction,New York,360017,36,I-495,,1,Not an Intersection,1,1,10,10,Cloudy,0,No Additional Atmospheric Conditions,Cloudy,0,None,2010
20,8:00pm-8:59pm,14,14,0,None,0,None,0,None,3380,LYNBROOK,59,NASSAU (59),2015,12,2,Monday,0,2,3,Principal Arterial - Other,12,Motor Vehicle In-Transport ,20,8:00pm-8:59pm,30,30,20,8:00pm-8:59pm,40.65514444,40.65514444,3,Dark - Lighted,-73.670175000,-73.670175000,1,Front-to-Rear ,0,None,13,13,1,January,1,This section IS ON the NHS,20,8:00pm-8:59pm,13,13,0,5,0,5,0,,0000000,Not Applicable,1,State Highway Agency,0,No,3,Intersection-Related ,1,On Roadway,,,3,State Highway,2,Urban,0,No,0,No Special Jurisdiction,New York,360018,36,SR-27 SUNRISE HWY,FOREST AVE,2,Four-Way Intersection,3,3,2,2,Rain,0,No Additional Atmospheric Conditions,Rain,0,None,2015
6,6:00am-6:59am,50,50,0,None,0,None,0,None,2600,HEMPSTEAD,59,NASSAU (59),2017,10,3,Tuesday,0,1,7,Local,8,Pedestrian,88,Not Applicable (Not Transported) ,88,Not Applicable (Not Transported),6,6:00am-6:59am,40.70969167,40.70969167,3,Dark - Lighted,-73.627783330,-73.627783330,0,Not a Collision with Motor Vehicle In-Transport,0,None,43,43,1,January,0,This section IS NOT on the NHS,6,6:00am-6:59am,47,47,1,1,1,1,0,,0000000,Not Applicable,3,Town or Township Highway Agency,0,No,3,Intersection-Related ,1,On Roadway,,,5,Local Street - Township,2,Urban,0,No,0,No Special Jurisdiction,New York,360020,36,N FRANKLIN ST,JACKSON ST,2,Four-Way Intersection,1,1,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2017
17,5:00pm-5:59pm,40,40,0,None,0,None,0,None,2600,HEMPSTEAD,59,NASSAU (59),2011,4,3,Tuesday,0,1,,,12,Motor Vehicle In-Transport ,17,5:00pm-5:59pm,52,52,17,5:00pm-5:59pm,40.74762778,40.74762778,3,Dark - Lighted,-73.558413890,-73.558413890,6,Angle ,0,None,53,53,1,January,0,This section IS NOT on the NHS,17,5:00pm-5:59pm,38,38,0,4,0,4,0,,0000000,Not Applicable,,,0,No,2,Intersection,1,On Roadway,16,Urban-Local Road or Street,6,Local Street - Municipality,,,0,No,0,No Special Jurisdiction,New York,360022,36,BOWLING GREEN DR,SALISBURY RD,2,Four-Way Intersection,2,2,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2011
16,4:00pm-4:59pm,24,24,0,None,0,None,0,None,4600,OYSTER BAY,59,NASSAU (59),2019,19,7,Saturday,0,1,3,Principal Arterial - Other,39,Wall,88,Not Applicable (Not Transported) ,88,Not Applicable (Not Transported),16,4:00pm-4:59pm,99.99990000,Unknown,1,Daylight,999.999900000,Unknown,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,99998,Not Reported,17,17,1,January,1,This section IS ON the NHS,16,4:00pm-4:59pm,17,17,0,1,0,1,0,,0000000,Not Applicable,3,Town or Township Highway Agency,0,No,1,Non-Junction,3,On Median,,,3,State Highway,1,Rural,0,No,0,No Special Jurisdiction,New York,360023,36,SR-908T,,1,Not an Intersection,1,1,10,10,Cloudy,0,No Additional Atmospheric Conditions,Cloudy,0,None,2019
3,3:00am-3:59am,49,49,0,None,0,None,0,None,4450,OLD WESTBURY,59,NASSAU (59),2012,15,1,Sunday,1,1,,,14,Parked Motor Vehicle ,9,9:00am-9:59am,30,30,3,3:00am-3:59am,99.99990000,Unknown,3,Dark - Lighted,999.999900000,Unknown,0,Not a Collision with Motor Vehicle In-Transport,0,None,37,37,1,January,1,This section IS ON the NHS,3,3:00am-3:59am,37,37,0,1,1,2,1,,0000000,Not Applicable,,,0,No,1,Non-Junction,4,On Roadside,11,Urban-Principal Arterial-Interstate,1,Interstate,,,0,No,0,No Special Jurisdiction,New York,360024,36,I-495,,1,Not an Intersection,1,2,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2012
99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,0,None,0,None,0,None,4600,OYSTER BAY,59,NASSAU (59),2010,21,5,Thursday,0,1,,,42,Tree (Standing Only),88,Not Applicable (Not Transported) ,88,Not Applicable (Not Transported),4,4:00am-4:59am,40.71709444,40.71709444,3,Dark - Lighted,-73.483108330,-73.483108330,0,Not a Collision with Motor Vehicle In-Transport,0,None,47,47,1,January,0,This section IS NOT on the NHS,99,Unknown,99,Unknown,0,,,1,,,0000000,Not Applicable,,,0,No,1,Non-Junction,4,On Roadside,16,Urban-Local Road or Street,5,Local Street - Township,,,0,No,0,No Special Jurisdiction,New York,360024,36,BOUNDARY AVE,,1,Not an Intersection,1,1,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2010
7,7:00am-7:59am,31,31,0,None,0,None,0,None,3160,LATTINGTOWN,59,NASSAU (59),2011,10,2,Monday,0,1,,,12,Motor Vehicle In-Transport ,8,8:00am-8:59am,17,17,7,7:00am-7:59am,40.88732500,40.88732500,1,Daylight,-73.612402780,-73.612402780,2,Front-to-Front,0,None,25,25,1,January,0,This section IS NOT on the NHS,7,7:00am-7:59am,26,26,0,2,0,2,0,,0000000,Not Applicable,,,0,No,1,Non-Junction,1,On Roadway,6,Rural-Local Road or Street,5,Local Street - Township,,,0,No,0,No Special Jurisdiction,New York,360025,36,OLD TAPPAN RD,,1,Not an Intersection,2,2,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2011
99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,0,None,0,None,0,None,2160,FREEPORT,59,NASSAU (59),2011,21,6,Friday,1,1,,,8,Pedestrian,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,0:00am-0:59am,40.65313889,40.65313889,3,Dark - Lighted,-73.586177780,-73.586177780,0,Not a Collision with Motor Vehicle In-Transport,0,None,24,24,1,January,0,This section IS NOT on the NHS,99,Unknown,99,Unknown,1,4,1,4,0,,0000000,Not Applicable,,,0,No,3,Intersection-Related ,1,On Roadway,14,Urban-Minor Arterial,5,Local Street - Township,,,0,No,0,No Special Jurisdiction,New York,360026,36,MERRICK RD,S OCEAN AVE,2,Four-Way Intersection,2,2,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2011
23,11:00pm-11:59pm,19,19,0,None,0,None,0,None,2600,HEMPSTEAD,59,NASSAU (59),2013,19,7,Saturday,0,1,,,8,Pedestrian,23,11:00pm-11:59pm,30,30,23,11:00pm-11:59pm,40.70223333,40.70223333,3,Dark - Lighted,-73.612519440,-73.612519440,0,Not a Collision with Motor Vehicle In-Transport,0,None,19,19,1,January,0,This section IS NOT on the NHS,23,11:00pm-11:59pm,19,19,1,1,1,1,0,,0000000,Not Applicable,,,0,No,2,Intersection,1,On Roadway,16,Urban-Local Road or Street,6,Local Street - Municipality,,,0,No,0,No Special Jurisdiction,New York,360027,36,JERUSALEM AVE,CATHERINE ST,3,T-Intersection,1,1,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2013
4,4:00am-4:59am,33,33,0,None,0,None,0,None,3380,LYNBROOK,59,NASSAU (59),2014,18,7,Saturday,1,1,,,31,"Other Post, Other Pole or Other Supports",88,Not Applicable (Not Transported) ,88,Not Applicable (Not Transported),4,4:00am-4:59am,40.66505833,40.66505833,3,Dark - Lighted,-73.660094440,-73.660094440,0,Not a Collision with Motor Vehicle In-Transport,0,None,20,20,1,January,0,This section IS NOT on the NHS,4,4:00am-4:59am,23,23,0,1,0,1,0,,0000000,Not Applicable,,,0,No,3,Intersection-Related ,4,On Roadside,16,Urban-Local Road or Street,5,Local Street - Township,,,0,No,0,No Special Jurisdiction,New York,360029,36,OCEAN AVE,RUTH PL,3,T-Intersection,1,1,10,10,Cloudy,0,No Additional Atmospheric Conditions,Cloudy,0,None,2014
3,3:00am-3:59am,44,44,0,None,0,None,0,None,2600,HEMPSTEAD,59,NASSAU (59),2018,18,5,Thursday,0,1,7,Local,42,Tree (Standing Only),4,4:00am-4:59am,3,3,3,3:00am-3:59am,40.70934444,40.70934444,3,Dark - Lighted,-73.616180560,-73.616180560,0,Not a Collision with Motor Vehicle In-Transport,0,None,30,30,1,January,0,This section IS NOT on the NHS,3,3:00am-3:59am,36,36,0,2,0,2,0,,0000000,Not Applicable,3,Town or Township Highway Agency,0,No,1,Non-Junction,4,On Roadside,,,5,Local Street - Township,2,Urban,0,No,0,No Special Jurisdiction,New York,360031,36,PENINSULA BLVD,,1,Not an Intersection,1,1,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2018
19,7:00pm-7:59pm,21,21,0,None,0,None,0,None,4090,NEW HYDE PARK,59,NASSAU (59),2016,19,3,Tuesday,0,1,3,Principal Arterial - Other,8,Pedestrian,19,7:00pm-7:59pm,38,38,19,7:00pm-7:59pm,40.79556944,40.79556944,2,Dark - Not Lighted,-73.676938890,-73.676938890,0,Not a Collision with Motor Vehicle In-Transport,0,None,10,10,1,January,0,This section IS NOT on the NHS,19,7:00pm-7:59pm,12,12,2,1,2,1,0,,0000000,Not Applicable,1,State Highway Agency,0,No,1,Non-Junction,1,On Roadway,,,3,State Highway,2,Urban,0,No,0,No Special Jurisdiction,New York,360031,36,SR-25A NORTHERN BLVD,,1,Not an Intersection,1,1,10,10,Cloudy,0,No Additional Atmospheric Conditions,Cloudy,0,None,2016
17,5:00pm-5:59pm,45,45,0,None,0,None,0,None,4090,NEW HYDE PARK,59,NASSAU (59),2018,30,3,Tuesday,0,1,7,Local,8,Pedestrian,17,5:00pm-5:59pm,58,58,17,5:00pm-5:59pm,40.74558333,40.74558333,3,Dark - Lighted,-73.666741670,-73.666741670,0,Not a Collision with Motor Vehicle In-Transport,0,None,41,41,1,January,0,This section IS NOT on the NHS,17,5:00pm-5:59pm,41,41,1,1,1,1,0,,0000000,Not Applicable,3,Town or Township Highway Agency,0,No,1,Non-Junction,1,On Roadway,,,5,Local Street - Township,2,Urban,0,No,0,No Special Jurisdiction,New York,360032,36,NASSAU BLVD,,1,Not an Intersection,1,1,10,10,Cloudy,0,No Additional Atmospheric Conditions,Cloudy,0,None,2018
19,7:00pm-7:59pm,45,45,0,None,0,None,0,None,2600,HEMPSTEAD,59,NASSAU (59),2017,13,6,Friday,1,1,3,Principal Arterial - Other,42,Tree (Standing Only),88,Not Applicable (Not Transported) ,88,Not Applicable (Not Transported),19,7:00pm-7:59pm,40.67332500,40.67332500,3,Dark - Lighted,-73.504347220,-73.504347220,0,Not a Collision with Motor Vehicle In-Transport,0,None,35,35,1,January,1,This section IS ON the NHS,19,7:00pm-7:59pm,41,41,0,1,0,1,4,,0000000,Not Applicable,1,State Highway Agency,0,No,1,Non-Junction,4,On Roadside,,,3,State Highway,2,Urban,0,No,0,No Special Jurisdiction,New York,360032,36,SR-27 SUNRISE HWY,,1,Not an Intersection,1,5,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2017
18,6:00pm-6:59pm,30,30,0,None,0,None,0,None,2600,HEMPSTEAD,59,NASSAU (59),2013,30,4,Wednesday,0,1,,,8,Pedestrian,18,6:00pm-6:59pm,43,43,18,6:00pm-6:59pm,40.66197222,40.66197222,3,Dark - Lighted,-73.607572220,-73.607572220,0,Not a Collision with Motor Vehicle In-Transport,0,None,25,25,1,January,0,This section IS NOT on the NHS,18,6:00pm-6:59pm,26,26,1,1,1,1,0,,0000000,Not Applicable,,,0,No,2,Intersection,1,On Roadway,16,Urban-Local Road or Street,6,Local Street - Municipality,,,0,No,0,No Special Jurisdiction,New York,360034,36,GRAND AVE,LORENZ AVE,3,T-Intersection,1,1,5,5,"Fog, Smog, Smoke",0,No Additional Atmospheric Conditions,"Fog, Smog, Smoke",0,None,2013
99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,0,None,0,None,0,None,3470,MALVERNE,59,NASSAU (59),2012,3,3,Tuesday,0,1,,,8,Pedestrian,99,Unknown,99,Unknown EMS Hospital Arrival Time,16,4:00pm-4:59pm,40.67247778,40.67247778,5,Dusk,-73.670308330,-73.670308330,0,Not a Collision with Motor Vehicle In-Transport,0,None,8,8,1,January,0,This section IS NOT on the NHS,99,Unknown,99,Unknown,1,1,1,1,0,,0000000,Not Applicable,,,0,No,3,Intersection-Related ,1,On Roadway,16,Urban-Local Road or Street,5,Local Street - Township,,,0,No,0,No Special Jurisdiction,New York,360038,36,JOHNSON AVE,HEMPSTEAD AVE,1,Not an Intersection,1,1,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2012
99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,0,None,0,None,0,None,5250,ROCKVILLE CENTRE,59,NASSAU (59),2013,24,5,Thursday,0,1,,,8,Pedestrian,88,Not Applicable (Not Transported) ,88,Not Applicable (Not Transported),11,11:00am-11:59am,40.65386944,40.65386944,1,Daylight,-73.631336110,-73.631336110,0,Not a Collision with Motor Vehicle In-Transport,0,None,40,40,1,January,0,This section IS NOT on the NHS,99,Unknown,99,Unknown,1,1,1,1,0,,0000000,Not Applicable,,,0,No,2,Intersection,1,On Roadway,16,Urban-Local Road or Street,6,Local Street - Municipality,,,0,No,0,No Special Jurisdiction,New York,360039,36,MERRICK RD,OCEANSIDE RD,2,Four-Way Intersection,1,1,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2013
11,11:00am-11:59am,10,10,0,None,0,None,0,None,2600,HEMPSTEAD,59,NASSAU (59),2013,9,4,Wednesday,0,1,,,24,Guardrail Face,11,11:00am-11:59am,20,20,10,10:00am-10:59am,99.99990000,Unknown,1,Daylight,999.999900000,Unknown,0,Not a Collision with Motor Vehicle In-Transport,0,None,54,54,1,January,1,This section IS ON the NHS,10,10:00am-10:59am,58,58,0,1,0,1,0,,0000000,Not Applicable,,,0,No,1,Non-Junction,3,On Median,13,Urban-Other Principal Arterial,3,State Highway,,,0,No,0,No Special Jurisdiction,New York,360041,36,SR-908M,,1,Not an Intersection,1,1,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2013
22,10:00pm-10:59pm,26,26,0,None,0,None,0,None,2675,HICKSVILLE,59,NASSAU (59),2016,25,2,Monday,1,1,5,Major Collector,8,Pedestrian,22,10:00pm-10:59pm,44,44,22,10:00pm-10:59pm,40.76105278,40.76105278,3,Dark - Lighted,-73.515769440,-73.515769440,0,Not a Collision with Motor Vehicle In-Transport,0,None,15,15,1,January,0,This section IS NOT on the NHS,22,10:00pm-10:59pm,19,19,1,1,1,1,0,,0000000,Not Applicable,3,Town or Township Highway Agency,0,No,1,Non-Junction,1,On Roadway,,,5,Local Street - Township,2,Urban,0,No,0,No Special Jurisdiction,New York,360041,36,350 SOUTH BROADWAY,,1,Not an Intersection,1,1,1,1,Clear,0,No Additional Atmospheric Conditions,Clear,0,None,2016
